matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
884,1.36.1,1,Aaron Finch,167,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,-1,,2,2,2,,-0.631,6.467,-0.379,0.94,20,21
884,1.36.2,2,Aaron Finch,167,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,24.997,,4,4,4,,-0.39,6.258,0.11,0.995,10,23
884,1.36.3,3,Aaron Finch,167,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,24.254,,0,0,0,,0.027,3.281,0.081,0.618,60,23
884,1.36.4,4,Aaron Finch,167,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,23.879,,0,0,0,,-0.333,7.398,0.265,1.022,5,5
884,1.36.5,5,Aaron Finch,167,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,25.1,,6,6,6,,-0.435,4.842,-0.164,0.766,88,65
884,1.36.6,6,Aaron Finch,167,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,23.79,,4,4,4,,0.024,6.419,0.05,0.984,8,44
884,1.38.1,1,George Bailey,19,FALSE,Glenn Maxwell,282,Moeen Ali,1735,TRUE,OFF_SPIN,24.151,,1,1,1,,-0.208,3.918,0.105,0.672,88,38
884,1.38.2,2,Glenn Maxwell,282,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,24.491,,1,1,1,,-0.104,5.949,0.45,0.848,82,24
884,1.38.3,3,George Bailey,19,FALSE,Glenn Maxwell,282,Moeen Ali,1735,TRUE,OFF_SPIN,24.171,,1,1,1,,-0.255,5.823,0.2,0.781,66,25
884,1.38.4,4,Glenn Maxwell,282,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,24.672,,4,4,4,,-0.217,5.858,0.337,0.895,15,17
884,1.38.5,5,Glenn Maxwell,282,TRUE,George Bailey,19,Moeen Ali,1735,TRUE,OFF_SPIN,26.251,,1,1,1,,-0.298,6.33,0.085,0.874,86,32
884,1.38.6,6,George Bailey,19,FALSE,Glenn Maxwell,282,Moeen Ali,1735,TRUE,OFF_SPIN,26.011,,1,1,1,,-0.284,5.019,0.119,0.937,66,23
884,1.40.1,1,Glenn Maxwell,282,TRUE,Mitchell Marsh,221,Moeen Ali,1735,TRUE,OFF_SPIN,24.78,,1,1,1,,-0.159,5.533,0.29,0.826,83,44
884,1.40.2,2,Mitchell Marsh,221,TRUE,Glenn Maxwell,282,Moeen Ali,1735,TRUE,OFF_SPIN,25.066,,1,1,1,,-0.326,4.949,0.067,0.753,64,81
884,1.40.3,3,Glenn Maxwell,282,TRUE,Mitchell Marsh,221,Moeen Ali,1735,TRUE,OFF_SPIN,24.633,,2,2,2,,-0.307,5.511,0.03,0.908,55,14
884,1.40.4,4,Glenn Maxwell,282,TRUE,Mitchell Marsh,221,Moeen Ali,1735,TRUE,OFF_SPIN,26.008,,1,1,1,,-0.345,7.021,0.174,1.001,67,28
884,1.40.5,5,Mitchell Marsh,221,TRUE,Glenn Maxwell,282,Moeen Ali,1735,TRUE,OFF_SPIN,25.166,,1,1,1,,-0.236,6.246,0.325,0.948,82,23
884,1.40.6,6,Glenn Maxwell,282,TRUE,Mitchell Marsh,221,Moeen Ali,1735,TRUE,OFF_SPIN,-1,,1,1,1,,-0.178,5.729,0.466,0.892,80,27
